zip_code,city,state,metro,county_name,date,rental_price
10025,New York,NY,New York-Newark-Jersey City,New York County,2017-05-01,3402.5
10025,New York,NY,New York-Newark-Jersey City,New York County,2017-06-01,3405
10025,New York,NY,New York-Newark-Jersey City,New York County,2017-07-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2017-08-01,3495
10025,New York,NY,New York-Newark-Jersey City,New York County,2017-09-01,3450
10025,New York,NY,New York-Newark-Jersey City,New York County,2017-10-01,3392.5
10025,New York,NY,New York-Newark-Jersey City,New York County,2017-11-01,3405
10025,New York,NY,New York-Newark-Jersey City,New York County,2017-12-01,3470
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-01-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-02-01,3422.5
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-03-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-04-01,3350
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-05-01,3395
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-06-01,3440
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-07-01,3402.5
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-08-01,3362.5
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-09-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-10-01,3385
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-11-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2018-12-01,3445
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-01-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-02-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-03-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-04-01,3400
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-05-01,3500
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-06-01,3495
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-07-01,3440
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-08-01,3500
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-09-01,3500
10025,New York,NY,New York-Newark-Jersey City,New York County,2019-10-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-02-01,NA
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-03-01,NA
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-04-01,3425
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-05-01,3275
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-06-01,3575
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-07-01,3800
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-08-01,3875
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-09-01,3900
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-10-01,4392.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-11-01,4500
10023,New York,NY,New York-Newark-Jersey City,New York County,2010-12-01,4430
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-01-01,3800
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-02-01,3750
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-03-01,3537.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-04-01,3475
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-05-01,3297.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-06-01,3254
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-07-01,3289
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-08-01,3450
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-09-01,3583
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-10-01,3560
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-11-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2011-12-01,3405
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-01-01,3400
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-02-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-03-01,3395
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-04-01,3350
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-05-01,3495
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-06-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-07-01,3500
