RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
394590,"Fayetteville, AR",99,140900,140300,136500,136400,133400,135300,132300,134400,130400,124400,121200,119600,129300,127800,128100,121700,122500,124300,126100,125700,123800,122400,123600,127800,129700,129300,127000,125000,129400,131100,135300,132800,135600,131900,128600,122500,122400,123100,124200,123800,123100,120300,119100,119000,121100,126200,127000,128000,125800,124700,123400,125500,128500,130000,132000,133800,134400,132800,135400,136400,140300,140200,138100,133500,133300,138600,140600,138800,133700,134100,129300,130100,129600,134000,136700,136900,135800,135300,136200,139400,139600,139700,140100,147800,149000,151200,146200,148600,149100,149900,147300,145500,146600,149300,151900,151900,153800,154500,157600,157900,158600,158800,161200,164100,164800,164300,165400,166300,165100,162700,161200,162700,164400,166300,168100,168600,170700,171700,171700,172800,173500,175600,175300,175800,176100,176000,178000,183300,186600,190500,189300,191600,189900,190600,193600,195800,199500,198200
394971,"Pensacola, FL",100,145300,146600,147100,142700,141400,139400,140000,135700,138700,135500,138600,135200,133700,132900,131900,134600,135100,137800,136400,135700,133000,133400,130800,130100,129400,129200,125300,122100,120300,118300,123300,127900,131900,131800,132800,132500,125300,118400,117000,117400,114900,118700,122300,130700,125700,125700,113400,119100,119500,128300,123800,123200,124000,123400,125300,126100,126200,125000,126500,128500,129700,126600,125600,125300,127400,128500,128100,126700,126800,126300,118200,116400,115000,119600,121000,124700,127200,127800,128300,131800,132400,131700,130800,129700,132200,133100,136100,133100,133900,133200,132700,135300,136300,141300,140700,143000,142300,145200,145700,150200,150500,152000,151500,150900,151600,151800,155300,158800,159000,159000,159300,159100,160700,159400,160900,160600,162000,163600,164700,169200,173700,176300,172600,171600,172600,175300,175900,174000,174100,176200,182300,189900,190000,189000,185900,186400,188600,
395195,"Visalia, CA",101,194600,189100,182300,174800,173400,169800,165100,160600,155700,150800,142400,135100,131500,125500,120400,120600,126300,131300,130200,127300,129700,130200,132000,129700,127400,126800,126100,125100,124600,123000,124000,121100,118900,116700,115900,114200,112500,110900,111000,111200,111200,113300,115000,116000,113400,113400,112700,112300,112100,114700,116000,115900,113800,118300,120300,125000,125000,130100,129000,129800,130600,135300,140100,141800,144900,146200,149900,151900,152200,151300,150800,155000,158300,160100,158600,156300,156100,158100,158900,162600,164100,165700,166000,165800,167400,168500,172900,176600,176400,175700,176100,178200,169800,170800,171200,181200,181500,183800,185200,186000,189300,190300,192600,191000,195500,197100,199300,199200,199800,202500,202400,203300,203300,205300,205500,204400,203800,205500,210400,218300,219900,217600,213100,214500,216300,219300,221300,220200,220400,222200,223400,228300,227800,232200,229000,229300,226600,
395244,"York, PA",102,154700,157200,155500,152100,149600,149100,150800,148600,146600,144300,146500,149100,149400,149900,149800,147500,145100,143500,148500,145600,146800,144500,149100,148700,147400,147800,147600,144600,139900,138200,141400,141900,143900,142700,147300,144400,140700,134700,134900,133500,133800,132200,137600,137000,137500,132200,136800,135300,136800,133100,136900,138500,137200,133800,136300,137100,139500,137200,137800,137300,138000,137400,136900,137300,139200,140300,139000,137100,135200,137400,138700,139900,140000,139500,138100,135800,135300,137200,138500,141400,139400,140100,139300,142700,142300,142000,143600,145000,143300,142100,145800,148900,149400,145100,145000,142200,142500,146700,150200,154000,151500,151800,152000,153300,154800,151500,154800,154800,154800,152100,153200,157700,159100,158000,158500,156800,160200,160700,161900,160700,161800,164700,165200,164700,164000,166000,166600,163000,160000,157100,165800,170400,176700,175400,175400,171500,169900,
394596,"Flint, MI",103,55100,52500,47400,50000,51300,48200,43500,40200,38200,35600,37600,42300,45900,41000,39600,37200,37100,37000,40200,46400,48300,48500,48200,52600,51500,50000,44600,46400,46000,45100,44700,43800,42600,42400,45100,51200,49500,45700,36000,35100,37200,40600,42400,40700,40100,41200,38800,51200,48800,48300,38100,40900,43700,43500,42900,45600,54700,55400,56600,52400,49600,51300,49800,59300,58100,59900,57200,62000,57000,59900,59100,74800,67000,62900,56800,66000,73300,74900,78200,78300,78200,78900,79200,74700,75700,77000,90500,90400,92900,87100,89300,86900,84400,80300,77800,85100,87200,91100,89500,91900,94200,94000,93600,102700,104300,106100,99000,113800,114400,114900,100500,103900,105300,106100,106600,107500,110500,111800,118300,121100,122400,116200,112800,111800,113200,114400,112900,122800,124700,124200,119000,130600,132200,125200,112100,113900,118000,117900
395019,"Reno, NV",104,270700,271200,261300,254300,247300,242900,239800,232400,226000,224200,216100,209200,197400,191900,182500,172900,169600,168800,170700,170700,171600,171000,170800,170200,167400,166000,161900,161000,162100,160900,160700,160500,161600,159700,155400,154400,153400,147200,141800,138600,137900,138100,136700,138800,137300,137200,134100,135900,135300,139700,141600,149600,153400,160100,164000,172400,177600,180500,180600,182200,184300,190300,196400,205200,206900,207500,207300,206700,207500,208400,211700,215000,214900,217600,218700,222600,223800,228500,227000,231100,242200,250400,254500,248900,250800,250900,252800,254500,256000,258500,261000,264700,267500,270900,272800,274000,275700,276900,279400,279900,284600,284200,288600,289300,292700,289600,290200,290000,293500,294000,299100,302600,314700,317400,319700,320200,325100,327900,333000,340200,351000,354100,350200,350000,348000,349500,349000,352000,356100,351600,353100,365300,368900,361200,349000,356200,366000,367300
394338,"Asheville, NC",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182100,182600,184600,186000,190000,195300,193100,192200,189500,189600,191000,188600,187700,188500,190700,191500,183800,182300,185600,191900,195000,196000,196600,198000,196500,199000,201600,203600,204300,202200,202300,203500,201800,202200,208500,214000,217800,213900,218800,219300,220000,217700,221100,222400,224400,224400,229500,232900,233700,232300,229800,232000,233400,238100,237600,243900,244800,249900,242200,248400,247300,252000,243300,243000,238400,243900,244500,255100,249800,247100,249500,258900,265900,260300,256800,260000,
394995,"Port St. Lucie, FL",106,180100,173500,163700,161700,154100,151400,145300,141900,139700,137000,133000,128200,122900,118900,114900,109100,106900,105600,108400,109800,111600,111800,110300,107200,103300,105800,107800,111600,110700,107600,106000,104900,108400,110200,111400,108900,108300,107400,107900,106300,103200,103200,104600,103900,105900,107600,110400,111400,110100,110600,111500,112400,112700,110600,111100,112900,112400,115000,116500,119000,118100,120300,121700,125000,127400,130100,129400,127900,128700,130500,132600,132500,131800,129800,128200,130900,133600,137900,139000,143600,145800,147800,150200,152200,151400,150500,149400,154200,156800,160200,161900,163800,165000,166100,169400,171000,173400,172300,175900,175600,177500,178100,179500,180900,181500,183500,183400,187800,190100,193100,193700,194700,196900,197100,200300,200400,202600,202400,204000,205200,207400,209300,209200,208600,208200,209700,211600,217200,219700,222000,218300,220300,218400,218400,216200,218400,219600,
753917,"Santa Maria-Santa Barbara, CA",107,344800,338200,323700,302000,303400,293600,277900,263800,253400,255600,240500,239000,229200,238600,240700,250500,258200,268700,284400,294500,300300,299000,302700,306900,323500,337700,355000,335200,332900,344600,363600,365400,347200,344100,316500,321600,327500,340600,329000,316800,320000,323600,324800,303400,296900,294500,299600,286900,278400,284000,316000,329000,356300,351600,351200,364000,371500,412500,404600,413000,409900,420700,457300,463300,469500,438700,456600,464000,463300,448500,459700,476800,455700,426000,407600,418600,446400,475000,494100,484700,496200,503900,500700,480100,488400,501500,521700,503400,505900,496700,483100,468200,472700,480300,511300,522500,515100,499600,476400,507600,493500,521300,501300,514000,496300,505000,518100,525400,538300,540100,542200,540100,540500,537200,542500,559100,570300,565800,535200,541100,547600,568900,567100,556900,544600,527800,548100,569800,580700,574500,561200,557000,553200,560700,571700,570500,569000,565600
394698,"Huntsville, AL",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,141900,143400,143600,146300,147800,153000,150500,150000,144800,145700,145700,147800,145900,145000,145700,147500,148100,151700,157300,167400,168300,168600,169300,177000,175800,170000,162800,162600,164300,165600,168500,168600,167200,169100,172400,178300,179100,179700,176500,179800
