metro,date,value_type,mean_value
New York-Newark-Jersey City,1998-04-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-04-01,mean_zri,NaN
New York-Newark-Jersey City,1998-04-01,mean_rental_price,NaN
New York-Newark-Jersey City,1998-05-01,mean_zhvi,207241.01265822785
New York-Newark-Jersey City,1998-05-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-05-01,mean_zri,NaN
New York-Newark-Jersey City,1998-05-01,mean_rental_price,NaN
New York-Newark-Jersey City,1998-06-01,mean_zhvi,208347.46835443037
New York-Newark-Jersey City,1998-06-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-06-01,mean_zri,NaN
New York-Newark-Jersey City,1998-06-01,mean_rental_price,NaN
New York-Newark-Jersey City,1998-07-01,mean_zhvi,209484.55696202532
New York-Newark-Jersey City,1998-07-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-07-01,mean_zri,NaN
New York-Newark-Jersey City,1998-07-01,mean_rental_price,NaN
New York-Newark-Jersey City,1998-08-01,mean_zhvi,210672.78481012658
New York-Newark-Jersey City,1998-08-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-08-01,mean_zri,NaN
New York-Newark-Jersey City,1998-08-01,mean_rental_price,NaN
New York-Newark-Jersey City,1998-09-01,mean_zhvi,211918.86075949366
New York-Newark-Jersey City,1998-09-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-09-01,mean_zri,NaN
New York-Newark-Jersey City,1998-09-01,mean_rental_price,NaN
New York-Newark-Jersey City,1998-10-01,mean_zhvi,213265.56962025317
New York-Newark-Jersey City,1998-10-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-10-01,mean_zri,NaN
New York-Newark-Jersey City,1998-10-01,mean_rental_price,NaN
New York-Newark-Jersey City,1998-11-01,mean_zhvi,214715.18987341772
New York-Newark-Jersey City,1998-11-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-11-01,mean_zri,NaN
New York-Newark-Jersey City,1998-11-01,mean_rental_price,NaN
New York-Newark-Jersey City,1998-12-01,mean_zhvi,216421.13924050634
New York-Newark-Jersey City,1998-12-01,mean_sale_price,NaN
New York-Newark-Jersey City,1998-12-01,mean_zri,NaN
New York-Newark-Jersey City,1998-12-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-01-01,mean_zhvi,218300.6329113924
New York-Newark-Jersey City,1999-01-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-01-01,mean_zri,NaN
New York-Newark-Jersey City,1999-01-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-02-01,mean_zhvi,220115.82278481012
New York-Newark-Jersey City,1999-02-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-02-01,mean_zri,NaN
New York-Newark-Jersey City,1999-02-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-03-01,mean_zhvi,221821.77215189874
New York-Newark-Jersey City,1999-03-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-03-01,mean_zri,NaN
New York-Newark-Jersey City,1999-03-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-04-01,mean_zhvi,223636.96202531646
New York-Newark-Jersey City,1999-04-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-04-01,mean_zri,NaN
New York-Newark-Jersey City,1999-04-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-05-01,mean_zhvi,225526.58227848102
New York-Newark-Jersey City,1999-05-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-05-01,mean_zri,NaN
New York-Newark-Jersey City,1999-05-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-06-01,mean_zhvi,227486.7088607595
New York-Newark-Jersey City,1999-06-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-06-01,mean_zri,NaN
New York-Newark-Jersey City,1999-06-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-07-01,mean_zhvi,229501.8987341772
New York-Newark-Jersey City,1999-07-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-07-01,mean_zri,NaN
New York-Newark-Jersey City,1999-07-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-08-01,mean_zhvi,231581.13924050634
New York-Newark-Jersey City,1999-08-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-08-01,mean_zri,NaN
New York-Newark-Jersey City,1999-08-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-09-01,mean_zhvi,233730.50632911394
New York-Newark-Jersey City,1999-09-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-09-01,mean_zri,NaN
New York-Newark-Jersey City,1999-09-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-10-01,mean_zhvi,235994.43037974683
New York-Newark-Jersey City,1999-10-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-10-01,mean_zri,NaN
New York-Newark-Jersey City,1999-10-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-11-01,mean_zhvi,238365.82278481012
New York-Newark-Jersey City,1999-11-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-11-01,mean_zri,NaN
New York-Newark-Jersey City,1999-11-01,mean_rental_price,NaN
New York-Newark-Jersey City,1999-12-01,mean_zhvi,241000.1265822785
New York-Newark-Jersey City,1999-12-01,mean_sale_price,NaN
New York-Newark-Jersey City,1999-12-01,mean_zri,NaN
New York-Newark-Jersey City,1999-12-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-01-01,mean_zhvi,243810.88607594935
New York-Newark-Jersey City,2000-01-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-01-01,mean_zri,NaN
New York-Newark-Jersey City,2000-01-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-02-01,mean_zhvi,246560.1265822785
New York-Newark-Jersey City,2000-02-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-02-01,mean_zri,NaN
New York-Newark-Jersey City,2000-02-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-03-01,mean_zhvi,249160.88607594935
New York-Newark-Jersey City,2000-03-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-03-01,mean_zri,NaN
New York-Newark-Jersey City,2000-03-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-04-01,mean_zhvi,251823.79746835443
New York-Newark-Jersey City,2000-04-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-04-01,mean_zri,NaN
New York-Newark-Jersey City,2000-04-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-05-01,mean_zhvi,254508.1012658228
New York-Newark-Jersey City,2000-05-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-05-01,mean_zri,NaN
New York-Newark-Jersey City,2000-05-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-06-01,mean_zhvi,257201.64556962025
New York-Newark-Jersey City,2000-06-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-06-01,mean_zri,NaN
New York-Newark-Jersey City,2000-06-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-07-01,mean_zhvi,259894.30379746837
New York-Newark-Jersey City,2000-07-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-07-01,mean_zri,NaN
New York-Newark-Jersey City,2000-07-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-08-01,mean_zhvi,262588.10126582277
New York-Newark-Jersey City,2000-08-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-08-01,mean_zri,NaN
New York-Newark-Jersey City,2000-08-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-09-01,mean_zhvi,265287.2151898734
New York-Newark-Jersey City,2000-09-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-09-01,mean_zri,NaN
New York-Newark-Jersey City,2000-09-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-10-01,mean_zhvi,268045.82278481015
New York-Newark-Jersey City,2000-10-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-10-01,mean_zri,NaN
New York-Newark-Jersey City,2000-10-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-11-01,mean_zhvi,270877.84810126584
New York-Newark-Jersey City,2000-11-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-11-01,mean_zri,NaN
