region_id,city,state,size_rank,date,median_income
394913,New York,NY,1,2016-12,72812.68
394913,New York,NY,1,2017-03,73819.12
394913,New York,NY,1,2017-06,74936.31
394913,New York,NY,1,2017-09,75963.84
394913,New York,NY,1,2017-12,76753.93
394913,New York,NY,1,2018-03,77408.0828125
394913,New York,NY,1,2018-06,78062.235625
394913,New York,NY,1,2018-09,78716.3884375
394913,New York,NY,1,2018-12,79370.54125
395057,San Francisco,CA,11,1979-03,19341.49
395057,San Francisco,CA,11,1979-06,19762.02
395057,San Francisco,CA,11,1979-09,20232.43
395057,San Francisco,CA,11,1979-12,20659.18
395057,San Francisco,CA,11,1980-03,21190.51
395057,San Francisco,CA,11,1980-06,21677.4
395057,San Francisco,CA,11,1980-09,22123.68
395057,San Francisco,CA,11,1980-12,22548.41
395057,San Francisco,CA,11,1981-03,22976.73
395057,San Francisco,CA,11,1981-06,23338.2
395057,San Francisco,CA,11,1981-09,23817.34
395057,San Francisco,CA,11,1981-12,24316.52
395057,San Francisco,CA,11,1982-03,24802.73
395057,San Francisco,CA,11,1982-06,25066.59
395057,San Francisco,CA,11,1982-09,25410.81
395057,San Francisco,CA,11,1982-12,25757.24
395057,San Francisco,CA,11,1983-03,26270.62
395057,San Francisco,CA,11,1983-06,26849.75
395057,San Francisco,CA,11,1983-09,27367.84
395057,San Francisco,CA,11,1983-12,27754.12
395057,San Francisco,CA,11,1984-03,28257.19
395057,San Francisco,CA,11,1984-06,28768.3
395057,San Francisco,CA,11,1984-09,29370
395057,San Francisco,CA,11,1984-12,29980.2
395057,San Francisco,CA,11,1985-03,30590.37
395057,San Francisco,CA,11,1985-06,31022.48
395057,San Francisco,CA,11,1985-09,31467.81
395057,San Francisco,CA,11,1985-12,31930.57
395057,San Francisco,CA,11,1986-03,32518.65
395057,San Francisco,CA,11,1986-06,33097.14
395057,San Francisco,CA,11,1986-09,33670.51
395057,San Francisco,CA,11,1986-12,34178.95
395057,San Francisco,CA,11,1987-03,34804.74
395057,San Francisco,CA,11,1987-06,35457.97
395057,San Francisco,CA,11,1987-09,36027.76
395057,San Francisco,CA,11,1987-12,36530.02
395057,San Francisco,CA,11,1988-03,37091.45
395057,San Francisco,CA,11,1988-06,37715.92
395057,San Francisco,CA,11,1988-09,38399.86
